"Label (Grouping)","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Median age (years)","RACE!!Total population!!One race!!White","RACE!!Total population!!One race!!Black or African American","RACE!!Total population!!One race!!American Indian and Alaska Native","RACE!!Total population!!One race!!Asian","RACE!!Total population!!One race!!Asian!!Chinese","RACE!!Total population!!One race!!Asian!!Japanese","RACE!!Total population!!One race!!Some Other Race","RACE!!Total population!!Two or More Races"
" -> Baldwin County, Alabama","","","","","","","","","","",""
"    Estimate","124,518","128,989","44.3","208,150","20,974","952","3,074","N","N","5,559","14,403"
"    Percent","49.1%","50.9%","(X)","82.1%","8.3%","0.4%","1.2%","N","N","2.2%","5.7%"
" -> Calhoun County, Alabama","","","","","","","","","","",""
"    Estimate","56,185","60,244","40.5","83,530","25,351","342","1,236","N","N","1,428","4,542"
"    Percent","48.3%","51.7%","(X)","71.7%","21.8%","0.3%","1.1%","N","N","1.2%","3.9%"
" -> Cullman County, Alabama","","","","","","","","","","",""
"    Estimate","45,015","47,001","40.1","82,279","1,022","64","519","N","N","1,557","6,575"
"    Percent","48.9%","51.1%","(X)","89.4%","1.1%","0.1%","0.6%","N","N","1.7%","7.1%"
" -> DeKalb County, Alabama","","","","","","","","","","",""
"    Estimate","36,341","36,228","39.9","58,067","634","275","332","N","N","9,339","3,911"
"    Percent","50.1%","49.9%","(X)","80.0%","0.9%","0.4%","0.5%","N","N","12.9%","5.4%"
" -> Elmore County, Alabama","","","","","","","","","","",""
"    Estimate","44,607","45,834","40.2","65,381","18,189","297","69","N","N","1,479","5,018"
"    Percent","49.3%","50.7%","(X)","72.3%","20.1%","0.3%","0.1%","N","N","1.6%","5.5%"
" -> Etowah County, Alabama","","","","","","","","","","",""
"    Estimate","48,419","54,822","41.2","79,234","15,605","270","722","N","N","3,030","4,102"
"    Percent","46.9%","53.1%","(X)","76.7%","15.1%","0.3%","0.7%","N","N","2.9%","4.0%"
" -> Houston County, Alabama","","","","","","","","","","",""
"    Estimate","52,009","56,453","39.9","69,699","29,753","61","1,121","N","N","2,248","5,538"
"    Percent","48.0%","52.0%","(X)","64.3%","27.4%","0.1%","1.0%","N","N","2.1%","5.1%"
" -> Jefferson County, Alabama","","","","","","","","","","",""
"    Estimate","314,100","348,795","38.0","317,840","280,575","763","12,389","2,963","86","16,133","34,806"
"    Percent","47.4%","52.6%","(X)","47.9%","42.3%","0.1%","1.9%","0.4%","0.0%","2.4%","5.3%"
" -> Lauderdale County, Alabama","","","","","","","","","","",""
"    Estimate","45,967","50,847","41.3","79,801","6,850","522","1,132","N","N","2,639","5,870"
"    Percent","47.5%","52.5%","(X)","82.4%","7.1%","0.5%","1.2%","N","N","2.7%","6.1%"
" -> Lee County, Alabama","","","","","","","","","","",""
"    Estimate","89,149","94,066","33.8","122,425","41,665","2,248","7,682","788","122","1,766","7,310"
"    Percent","48.7%","51.3%","(X)","66.8%","22.7%","1.2%","4.2%","0.4%","0.1%","1.0%","4.0%"
" -> Limestone County, Alabama","","","","","","","","","","",""
"    Estimate","57,361","57,293","40.6","83,966","14,636","1,543","2,239","N","N","3,216","9,054"
"    Percent","50.0%","50.0%","(X)","73.2%","12.8%","1.3%","2.0%","N","N","2.8%","7.9%"
" -> Madison County, Alabama","","","","","","","","","","",""
"    Estimate","202,585","210,015","37.8","259,448","99,819","1,619","11,702","2,569","605","11,437","28,430"
"    Percent","49.1%","50.9%","(X)","62.9%","24.2%","0.4%","2.8%","0.6%","0.1%","2.8%","6.9%"
" -> Marshall County, Alabama","","","","","","","","","","",""
"    Estimate","50,176","50,580","38.8","79,939","2,603","1,170","494","N","N","9,036","7,483"
"    Percent","49.8%","50.2%","(X)","79.3%","2.6%","1.2%","0.5%","N","N","9.0%","7.4%"
" -> Mobile County, Alabama","","","","","","","","","","",""
"    Estimate","197,055","214,585","38.5","229,581","146,279","1,948","9,012","1,527","45","3,736","20,767"
"    Percent","47.9%","52.1%","(X)","55.8%","35.5%","0.5%","2.2%","0.4%","0.0%","0.9%","5.0%"
" -> Montgomery County, Alabama","","","","","","","","","","",""
"    Estimate","106,413","118,567","37.3","66,611","134,203","354","6,412","367","44","3,532","13,838"
"    Percent","47.3%","52.7%","(X)","29.6%","59.7%","0.2%","2.9%","0.2%","0.0%","1.6%","6.2%"
" -> Morgan County, Alabama","","","","","","","","","","",""
"    Estimate","61,177","63,956","40.2","93,328","15,306","1,980","527","N","N","3,936","10,056"
"    Percent","48.9%","51.1%","(X)","74.6%","12.2%","1.6%","0.4%","N","N","3.1%","8.0%"
" -> St. Clair County, Alabama","","","","","","","","","","",""
"    Estimate","47,097","48,455","41.2","79,412","8,600","230","911","N","N","914","5,337"
"    Percent","49.3%","50.7%","(X)","83.1%","9.0%","0.2%","1.0%","N","N","1.0%","5.6%"
" -> Shelby County, Alabama","","","","","","","","","","",""
"    Estimate","113,322","119,678","40.7","175,591","32,191","151","5,634","N","N","4,991","14,374"
"    Percent","48.6%","51.4%","(X)","75.4%","13.8%","0.1%","2.4%","N","N","2.1%","6.2%"
" -> Talladega County, Alabama","","","","","","","","","","",""
"    Estimate","39,249","41,883","42.7","51,070","23,663","150","571","N","N","1,179","4,499"
"    Percent","48.4%","51.6%","(X)","62.9%","29.2%","0.2%","0.7%","N","N","1.5%","5.5%"
" -> Tuscaloosa County, Alabama","","","","","","","","","","",""
"    Estimate","114,811","122,562","33.3","142,361","72,342","1,414","3,840","N","N","6,292","10,926"
"    Percent","48.4%","51.6%","(X)","60.0%","30.5%","0.6%","1.6%","N","N","2.7%","4.6%"
" -> Anchorage Municipality, Alaska","","","","","","","","","","",""
"    Estimate","146,838","139,237","36.0","161,986","14,367","21,597","26,597","1,487","303","10,630","42,096"
"    Percent","51.3%","48.7%","(X)","56.6%","5.0%","7.5%","9.3%","0.5%","0.1%","3.7%","14.7%"
" -> Fairbanks North Star Borough, Alaska","","","","","","","","","","",""
"    Estimate","52,265","42,575","33.2","65,673","2,908","7,179","1,754","N","N","2,165","14,800"
"    Percent","55.1%","44.9%","(X)","69.2%","3.1%","7.6%","1.8%","N","N","2.3%","15.6%"
" -> Matanuska-Susitna Borough, Alaska","","","","","","","","","","",""
"    Estimate","60,843","54,396","36.9","87,910","1,073","6,810","1,822","356","333","2,164","15,387"
"    Percent","52.8%","47.2%","(X)","76.3%","0.9%","5.9%","1.6%","0.3%","0.3%","1.9%","13.4%"
" -> Apache County, Arizona","","","","","","","","","","",""
"    Estimate","31,972","33,064","38.8","15,936","372","46,265","494","N","N","353","1,616"
"    Percent","49.2%","50.8%","(X)","24.5%","0.6%","71.1%","0.8%","N","N","0.5%","2.5%"
" -> Cochise County, Arizona","","","","","","","","","","",""
"    Estimate","63,243","61,397","44.0","73,622","4,322","1,989","2,379","N","N","8,231","33,982"
"    Percent","50.7%","49.3%","(X)","59.1%","3.5%","1.6%","1.9%","N","N","6.6%","27.3%"
" -> Coconino County, Arizona","","","","","","","","","","",""
"    Estimate","71,530","72,942","32.7","81,204","2,425","36,391","3,141","457","83","4,688","16,586"
"    Percent","49.5%","50.5%","(X)","56.2%","1.7%","25.2%","2.2%","0.3%","0.1%","3.2%","11.5%"
" -> Maricopa County, Arizona","","","","","","","","","","",""
"    Estimate","2,280,454","2,305,417","37.8","2,655,466","267,977","99,049","215,053","33,814","9,313","456,465","881,428"
"    Percent","49.7%","50.3%","(X)","57.9%","5.8%","2.2%","4.7%","0.7%","0.2%","10.0%","19.2%"
" -> Mohave County, Arizona","","","","","","","","","","",""
"    Estimate","113,219","110,463","53.7","178,295","3,205","2,645","2,067","N","N","11,801","25,063"
